admission_id;nom;prenom;date_naissance;lieu_naissance;sexe_id;situation_matrimoniale_id;departement_origine_id;telephone;email;langue_id;diplome;annee_diplome;nom_pere;profession_pere;telephone_pere;residence_pere;nom_mere;profession_mere;telephone_mere;residence_mere
DEMO-25AA-063;Etudiant demo 63;Test Test test you oooooo ooooo oooooo;06/04/2002;Maternite de la ville 65;M;M;dep4;6 90 90 70 72;admis2@yahoo.en;EN;Diplome demo type 65;2010;;;;;;;;
DEMO-25AA-064;Etudiant demo 64;Test Test test you oooooo ooooo oooooo;07/04/2002;Maternite de la ville 66;M;M;dep6;7 90 90 70 72;admis2@yahoo.en;EN;Diplome demo type 66;2010;;;;;;;;
DEMO-25AA-065;Etudiant demo 65;Test Test test you oooooo ooooo oooooo;08/04/2002;Maternite de la ville 67;M;M;dep4;6 90 90 70 72;admis2@yahoo.en;EN;Diplome demo type 67;2010;;;;;;;;
DEMO-25AA-066;Etudiant demo 66;Test Test test you oooooo ooooo oooooo;09/04/2002;Maternite de la ville 68;M;M;dep6;7 90 90 70 72;admis2@yahoo.en;EN;Diplome demo type 68;2010;;;;;;;;
DEMO-25AA-067;Etudiant demo 67;Test Test test you oooooo ooooo oooooo;10/04/2002;Maternite de la ville 69;M;M;dep4;6 90 90 70 72;admis2@yahoo.en;EN;Diplome demo type 69;2010;;;;;;;;
DEMO-25AA-068;Etudiant demo 68;Test Test test you oooooo ooooo oooooo;11/04/2002;Maternite de la ville 70;M;M;dep6;7 90 90 70 72;admis2@yahoo.en;EN;Diplome demo type 70;2010;;;;;;;;
DEMO-25AA-069;Etudiant demo 69;Test Test test you oooooo ooooo oooooo;12/04/2002;Maternite de la ville 71;M;M;dep4;6 90 90 70 72;admis2@yahoo.en;EN;Diplome demo type 71;2010;;;;;;;;
DEMO-25AA-070;Etudiant demo 70;Test Test test you oooooo ooooo oooooo;13/04/2002;Maternite de la ville 72;M;M;dep6;7 90 90 70 72;admis2@yahoo.en;EN;Diplome demo type 72;2010;;;;;;;;
DEMO-25AA-071;Etudiant demo 71;Test Test test you oooooo ooooo oooooo;14/04/2002;Maternite de la ville 73;M;M;dep4;6 90 90 70 72;admis2@yahoo.en;EN;Diplome demo type 73;2010;;;;;;;;
DEMO-25AA-072;Etudiant demo 72;Test Test test you oooooo ooooo oooooo;15/04/2002;Maternite de la ville 74;M;M;dep6;7 90 90 70 72;admis2@yahoo.en;EN;Diplome demo type 74;2010;;;;;;;;
DEMO-25AA-073;Etudiant demo 73;Test Test test you oooooo ooooo oooooo;16/04/2002;Maternite de la ville 75;M;M;dep4;6 90 90 70 72;admis2@yahoo.en;EN;Diplome demo type 75;2010;;;;;;;;
DEMO-25AA-074;Etudiant demo 74;Test Test test you oooooo ooooo oooooo;17/04/2002;Maternite de la ville 76;M;M;dep6;7 90 90 70 72;admis2@yahoo.en;EN;Diplome demo type 76;2010;;;;;;;;
DEMO-25AA-075;Etudiant demo 75;Test Test test you oooooo ooooo oooooo;18/04/2002;Maternite de la ville 77;M;M;dep4;6 90 90 70 72;admis2@yahoo.en;EN;Diplome demo type 77;2010;;;;;;;;
DEMO-25AA-076;Etudiant demo 76;Test Test test you oooooo ooooo oooooo;19/04/2002;Maternite de la ville 78;M;M;dep6;7 90 90 70 72;admis2@yahoo.en;EN;Diplome demo type 78;2010;;;;;;;;
DEMO-25AA-077;Etudiant demo 77;Test Test test you oooooo ooooo oooooo;20/04/2002;Maternite de la ville 79;M;M;dep4;6 90 90 70 72;admis2@yahoo.en;EN;Diplome demo type 79;2010;;;;;;;;
DEMO-25AA-078;Etudiant demo 78;Test Test test you oooooo ooooo oooooo;21/04/2002;Maternite de la ville 80;M;M;dep6;7 90 90 70 72;admis2@yahoo.en;EN;Diplome demo type 80;2010;;;;;;;;
DEMO-25AA-079;Etudiant demo 79;Test Test test you oooooo ooooo oooooo;22/04/2002;Maternite de la ville 81;M;M;dep4;6 90 90 70 72;admis2@yahoo.en;EN;Diplome demo type 81;2010;;;;;;;;
DEMO-25AA-080;Etudiant demo 80;Test Test test you oooooo ooooo oooooo;23/04/2002;Maternite de la ville 82;M;M;dep6;7 90 90 70 72;admis2@yahoo.en;EN;Diplome demo type 82;2010;;;;;;;;
DEMO-25AA-081;Etudiant demo 81;Test Test test you oooooo ooooo oooooo;24/04/2002;Maternite de la ville 83;M;M;dep4;6 90 90 70 72;admis2@yahoo.en;EN;Diplome demo type 83;2010;;;;;;;;
DEMO-25AA-082;Etudiant demo 82;Test Test test you oooooo ooooo oooooo;25/04/2002;Maternite de la ville 84;M;M;dep6;7 90 90 70 72;admis2@yahoo.en;EN;Diplome demo type 84;2010;;;;;;;;
DEMO-25AA-083;Etudiant demo 83;Test Test test you oooooo ooooo oooooo;26/04/2002;Maternite de la ville 85;M;M;dep4;6 90 90 70 72;admis2@yahoo.en;EN;Diplome demo type 85;2010;;;;;;;;
DEMO-25AA-084;Etudiant demo 84;Test Test test you oooooo ooooo oooooo;27/04/2002;Maternite de la ville 86;M;M;dep6;7 90 90 70 72;admis2@yahoo.en;EN;Diplome demo type 86;2010;;;;;;;;
DEMO-25AA-085;Etudiant demo 85;Test Test test you oooooo ooooo oooooo;28/04/2002;Maternite de la ville 87;M;M;dep4;6 90 90 70 72;admis2@yahoo.en;EN;Diplome demo type 87;2010;;;;;;;;
DEMO-25AA-086;Etudiant demo 86;Test Test test you oooooo ooooo oooooo;29/04/2002;Maternite de la ville 88;M;M;dep6;7 90 90 70 72;admis2@yahoo.en;EN;Diplome demo type 88;2010;;;;;;;;
DEMO-25AA-087;Etudiant demo 87;Test Test test you oooooo ooooo oooooo;30/04/2002;Maternite de la ville 89;M;M;dep4;6 90 90 70 72;admis2@yahoo.en;EN;Diplome demo type 89;2010;;;;;;;;
DEMO-25AA-088;Etudiant demo 88;Test Test test you oooooo ooooo oooooo;01/05/2002;Maternite de la ville 90;M;M;dep6;7 90 90 70 72;admis2@yahoo.en;EN;Diplome demo type 90;2010;;;;;;;;
DEMO-25AA-089;Etudiant demo 89;Test Test test you oooooo ooooo oooooo;02/05/2002;Maternite de la ville 91;M;M;dep4;6 90 90 70 72;admis2@yahoo.en;EN;Diplome demo type 91;2010;;;;;;;;
DEMO-25AA-090;Etudiant demo 90;Test Test test you oooooo ooooo oooooo;03/05/2002;Maternite de la ville 92;M;M;dep6;7 90 90 70 72;admis2@yahoo.en;EN;Diplome demo type 92;2010;;;;;;;;
DEMO-25AA-091;Etudiant demo 91;Test Test test you oooooo ooooo oooooo;04/05/2002;Maternite de la ville 93;M;M;dep4;6 90 90 70 72;admis2@yahoo.en;EN;Diplome demo type 93;2010;;;;;;;;
DEMO-25AA-092;Etudiant demo 92;Test Test test you oooooo ooooo oooooo;05/05/2002;Maternite de la ville 94;M;M;dep6;7 90 90 70 72;admis2@yahoo.en;EN;Diplome demo type 94;2010;;;;;;;;
DEMO-25AA-093;Etudiant demo 93;Test Test test you oooooo ooooo oooooo;06/05/2002;Maternite de la ville 95;M;M;dep4;6 90 90 70 72;admis2@yahoo.en;EN;Diplome demo type 95;2010;;;;;;;;
DEMO-25AA-094;Etudiant demo 94;Test Test test you oooooo ooooo oooooo;07/05/2002;Maternite de la ville 96;M;M;dep6;7 90 90 70 72;admis2@yahoo.en;EN;Diplome demo type 96;2010;;;;;;;;
DEMO-25AA-095;Etudiant demo 95;Test Test test you oooooo ooooo oooooo;08/05/2002;Maternite de la ville 97;M;M;dep4;6 90 90 70 72;admis2@yahoo.en;EN;Diplome demo type 97;2010;;;;;;;;
DEMO-25AA-096;Etudiant demo 96;Test Test test you oooooo ooooo oooooo;09/05/2002;Maternite de la ville 98;M;M;dep6;7 90 90 70 72;admis2@yahoo.en;EN;Diplome demo type 98;2010;;;;;;;;
DEMO-25AA-097;Etudiant demo 97;Test Test test you oooooo ooooo oooooo;10/05/2002;Maternite de la ville 99;M;M;dep4;6 90 90 70 72;admis2@yahoo.en;EN;Diplome demo type 99;2010;;;;;;;;
DEMO-25AA-098;Etudiant demo 98;Test Test test you oooooo ooooo oooooo;11/05/2002;Maternite de la ville 100;M;M;dep6;7 90 90 70 72;admis2@yahoo.en;EN;Diplome demo type 100;2010;;;;;;;;
DEMO-25AA-099;Etudiant demo 99;Test Test test you oooooo ooooo oooooo;12/05/2002;Maternite de la ville 101;M;M;dep4;6 90 90 70 72;admis2@yahoo.en;EN;Diplome demo type 101;2010;;;;;;;;
DEMO-25AA-100;Etudiant demo 100;Test Test test you oooooo ooooo oooooo;13/05/2002;Maternite de la ville 102;M;M;dep6;7 90 90 70 72;admis2@yahoo.en;EN;Diplome demo type 102;2010;;;;;;;;
DEMO-25AA-101;Etudiant demo 101;Test Test test you oooooo ooooo oooooo;14/05/2002;Maternite de la ville 103;M;M;dep4;6 90 90 70 72;admis2@yahoo.en;EN;Diplome demo type 103;2010;;;;;;;;
DEMO-25AA-102;Etudiant demo 102;Test Test test you oooooo ooooo oooooo;15/05/2002;Maternite de la ville 104;M;M;dep6;7 90 90 70 72;admis2@yahoo.en;EN;Diplome demo type 104;2010;;;;;;;;
DEMO-25AA-103;Etudiant demo 103;Test Test test you oooooo ooooo oooooo;16/05/2002;Maternite de la ville 105;M;M;dep4;6 90 90 70 72;admis2@yahoo.en;EN;Diplome demo type 105;2010;;;;;;;;
DEMO-25AA-104;Etudiant demo 104;Test Test test you oooooo ooooo oooooo;17/05/2002;Maternite de la ville 106;M;M;dep6;7 90 90 70 72;admis2@yahoo.en;EN;Diplome demo type 106;2010;;;;;;;;
DEMO-25AA-105;Etudiant demo 105;Test Test test you oooooo ooooo oooooo;18/05/2002;Maternite de la ville 107;M;M;dep4;6 90 90 70 72;admis2@yahoo.en;EN;Diplome demo type 107;2010;;;;;;;;
DEMO-25AA-106;Etudiant demo 106;Test Test test you oooooo ooooo oooooo;19/05/2002;Maternite de la ville 108;M;M;dep6;7 90 90 70 72;admis2@yahoo.en;EN;Diplome demo type 108;2010;;;;;;;;
DEMO-25AA-107;Etudiant demo 107;Test Test test you oooooo ooooo oooooo;20/05/2002;Maternite de la ville 109;M;M;dep4;6 90 90 70 72;admis2@yahoo.en;EN;Diplome demo type 109;2010;;;;;;;;
DEMO-25AA-108;Etudiant demo 108;Test Test test you oooooo ooooo oooooo;21/05/2002;Maternite de la ville 110;M;M;dep6;7 90 90 70 72;admis2@yahoo.en;EN;Diplome demo type 110;2010;;;;;;;;
DEMO-25AA-109;Etudiant demo 109;Test Test test you oooooo ooooo oooooo;22/05/2002;Maternite de la ville 111;M;M;dep4;6 90 90 70 72;admis2@yahoo.en;EN;Diplome demo type 111;2010;;;;;;;;
DEMO-25AA-110;Etudiant demo 110;Test Test test you oooooo ooooo oooooo;23/05/2002;Maternite de la ville 112;M;M;dep6;7 90 90 70 72;admis2@yahoo.en;EN;Diplome demo type 112;2010;;;;;;;;
DEMO-25AA-111;Etudiant demo 111;Test Test test you oooooo ooooo oooooo;24/05/2002;Maternite de la ville 113;M;M;dep4;6 90 90 70 72;admis2@yahoo.en;EN;Diplome demo type 113;2010;;;;;;;;
DEMO-25AA-112;Etudiant demo 112;Test Test test you oooooo ooooo oooooo;25/05/2002;Maternite de la ville 114;M;M;dep6;7 90 90 70 72;admis2@yahoo.en;EN;Diplome demo type 114;2010;;;;;;;;
DEMO-25AA-113;Etudiant demo 113;Test Test test you oooooo ooooo oooooo;26/05/2002;Maternite de la ville 115;M;M;dep4;6 90 90 70 72;admis2@yahoo.en;EN;Diplome demo type 115;2010;;;;;;;;
DEMO-25AA-114;Etudiant demo 114;Test Test test you oooooo ooooo oooooo;27/05/2002;Maternite de la ville 116;M;M;dep6;7 90 90 70 72;admis2@yahoo.en;EN;Diplome demo type 116;2010;;;;;;;;
DEMO-25AA-115;Etudiant demo 115;Test Test test you oooooo ooooo oooooo;28/05/2002;Maternite de la ville 117;M;M;dep4;6 90 90 70 72;admis2@yahoo.en;EN;Diplome demo type 117;2010;;;;;;;;
DEMO-25AA-116;Etudiant demo 116;Test Test test you oooooo ooooo oooooo;29/05/2002;Maternite de la ville 118;M;M;dep6;7 90 90 70 72;admis2@yahoo.en;EN;Diplome demo type 118;2010;;;;;;;;
DEMO-25AA-117;Etudiant demo 117;Test Test test you oooooo ooooo oooooo;30/05/2002;Maternite de la ville 119;M;M;dep4;6 90 90 70 72;admis2@yahoo.en;EN;Diplome demo type 119;2010;;;;;;;;
DEMO-25AA-118;Etudiant demo 118;Test Test test you oooooo ooooo oooooo;31/05/2002;Maternite de la ville 120;M;M;dep6;7 90 90 70 72;admis2@yahoo.en;EN;Diplome demo type 120;2010;;;;;;;;
DEMO-25AA-119;Etudiant demo 119;Test Test test you oooooo ooooo oooooo;01/06/2002;Maternite de la ville 121;M;M;dep4;6 90 90 70 72;admis2@yahoo.en;EN;Diplome demo type 121;2010;;;;;;;;
DEMO-25AA-120;Etudiant demo 120;Test Test test you oooooo ooooo oooooo;02/06/2002;Maternite de la ville 122;M;M;dep6;7 90 90 70 72;admis2@yahoo.en;EN;Diplome demo type 122;2010;;;;;;;;
DEMO-25AA-121;Etudiant demo 121;Test Test test you oooooo ooooo oooooo;03/06/2002;Maternite de la ville 123;M;M;dep4;6 90 90 70 72;admis2@yahoo.en;EN;Diplome demo type 123;2010;;;;;;;;
